t,H,observed_EL,theory_EL
0.22499999999999998,128,125.00839445413382,124.97394767053513
0.24,128,124.83374985179222,124.79732870724797
0.255,128,124.64954012890819,124.61104088915374
0.27,128,124.45531564792492,124.41463023382947
0.285,128,124.25061428481264,124.20763022050184
0.3,128,124.03496213701362,123.98956251462074
0.315,128,123.80787438781687,123.7599378512201
0.32999999999999996,128,123.5688563401032,123.51825709015844
0.345,128,123.31740463226207,123.26401245618592
0.36,128,123.05300864870995,122.99668897640123
0.375,128,122.77515213679682,122.71576612700463
0.39,128,122.48331504093662,122.420719700284
0.40499999999999997,128,122.17697556350215,122.1110239014516
0.42,128,121.85561246034817,121.78615368324468
0.435,128,121.51870757673754,121.44558732408085
0.44999999999999996,128,121.16574862691678,121.088809252987
0.46499999999999997,128,120.79623221759924,120.71531312151586
0.48,128,120.40966711215543,120.32460511928706
0.495,128,120.00557772838448,119.91620752591068
0.51,128,119.58350785836068,119.48966248751933
0.525,128,119.14302459405016,119.04453600132828
0.54,128,118.68372243722516,118.58042208638308
0.5549999999999999,128,118.20522756673748,118.09694711312885
0.57,128,117.70720223054686,117.59377425869144
0.585,128,117.1893492241455,117.07060804893611
0.6,128,116.65141641131922,116.52719894259316
0.615,128,116.09320123769604,115.96334790718085
0.63,128,115.51455518243118,115.37891093128309
0.645,128,114.91538808885312,114.77380341315535
0.6599999999999999,128,114.29567231114689,114.14800436182058
0.6749999999999999,128,113.65544661137595,113.50156034399764
0.69,128,112.99481973953357,112.83458910855052
0.705,128,112.31397362904286,112.147282819847
0.72,128,111.61316614134046,111.43991083261466
0.735,128,110.89273329599169,110.71282194369391
0.75,128,110.15309092726606,109.96644606058135
0.765,128,109.3947357142595,109.2012952328485
0.78,128,108.618245539444,108.41796400036431
0.7949999999999999,128,107.82427913984375,107.6171290216406
0.8099999999999999,128,107.0135750257089,106.79954795638393
0.825,128,106.18694965335075,105.96605758824485
0.84,128,105.3452948514254,105.1175711865142
0.855,128,104.48957451307058,104.25507511879525
0.87,128,103.62082057954655,103.37962474010277
0.885,128,102.74012835401248,102.4923395970238
0.8999999999999999,128,101.84865119639939,101.59439799811908
0.9149999999999999,128,100.94759466163684,100.68703101327284
0.9299999999999999,128,100.03821015341094,99.77151597486157
0.945,128,99.12178817387556,98.84916956210598
0.96,128,98.1996512560682,97.92134055655241
0.975,128,97.2731466700294,96.98940236112543
0.99,128,96.34363899569904,96.05474537750958
1.005,128,95.41250265555081,95.11876933673452
1.02,128,94.48111449770015,94.18287567581993
1.035,128,93.55084651601283,93.24846004931575
1.05,128,92.62305878776236,92.31690505875099
1.065,128,91.69909270188607,91.3895732756314
1.08,128,90.78026454216932,90.46780062499167
1.095,128,89.86785948006495,89.55289018693347
1.1099999999999999,128,88.9631260216616,88.64610646338508
1.125,128,88.06727094287581,87.74867014683329
1.14,128,87.1814547365711,86.86175341730666
1.155,128,86.30678758528474,85.98647578371211
1.17,128,85.44432586381885,85.12390047599693
1.185,128,84.59506916733238,84.27503138572466
1.2,128,83.75995785291636,83.44081054468495
1.2149999999999999,128,82.93987107605966,82.62211612421996
1.23,128,82.13562529798602,81.81976093211695
1.2449999999999999,128,81.34797323558794,81.03449137922352
1.26,128,80.57760322258677,80.26698688438046
1.275,128,79.82513894855944,79.51785968380462
1.29,128,79.09113954151405,78.7876550096218
1.305,128,78.37609995966943,78.07685160176473
1.3199999999999998,128,77.68045165887813,77.38586251780902
1.335,128,77.00456350360508,76.71503620640894
1.3499999999999999,128,76.34874289139846,76.06465781169379
1.365,128,75.71323706323629,75.43495067817032
1.38,128,75.09823457486917,74.82607802823128
1.395,128,74.50386690718653,74.23814478716847
1.41,128,73.9302101965957,73.67119953352801
1.425,128,73.37728706931844,73.12523655561444
1.44,128,72.8450685662889,72.60019799786022
1.4549999999999998,128,72.333476147902,72.09597608354056
1.47,128,71.84238377015046,71.61241540285681
1.4849999999999999,128,71.37162002565131,71.14931525767813
1.5,128,70.92097034466295,70.7064320561631
1.515,128,70.49017925240838,70.28348175205194
1.53,128,70.07895267984091,69.88014232459662
1.545,128,69.68696032541575,69.49605629586864
1.56,128,69.31383806548058,69.13083328255854
1.575,128,68.95919041059618,68.7840525793658
1.5899999999999999,128,68.62259300447809,68.45526577070507
1.605,128,68.30359516136002,68.14399936675719
1.6199999999999999,128,68.00172243646756,67.8497574589268
1.635,128,67.71647922301875,67.5720243885854
1.65,128,67.44735136779585,67.31026742164845
1.665,128,67.19380879592723,67.06393942013142
1.68,128,66.95530813414312,66.8324815004205
1.6949999999999998,128,66.73129532049097,66.61532566666094
1.71,128,66.52120818737102,66.41189740647874
1.7249999999999999,128,66.32447900384021,66.22161823527303
1.74,128,66.14053696247456,66.043908174611
1.755,128,65.96881059571794,65.87818814986699
1.77,128,65.80873010660463,65.72388229220377
1.785,128,65.6597295990387,65.58042013032593
1.7999999999999998,128,65.52124919345039,65.44723865813198
1.815,128,65.39273701461673,65.32378426545463
1.8299999999999998,128,65.27365103971154,65.20951452047306
1.845,128,65.16346079620541,65.10389979406861
1.8599999999999999,128,65.06164890102642,65.00642471832776
1.875,128,64.96771243436987,64.91658947350993
1.89,128,64.88116414365109,64.83391090003127
1.905,128,64.80153347527252,64.75792343429745
1.92,128,64.72836743406499,64.68817986948385
1.9349999999999998,128,64.66123127240199,64.62425194454883
1.95,128,64.59970901302384,64.56573076681057
1.9649999999999999,128,64.54340381149456,64.51222707527856
1.98,128,64.49193816590693,64.46337135356343
1.9949999999999999,128,64.44495398291997,64.41881380256251
2.01,128,64.40211251043027,64.37822418422013
2.025,128,64.36309414813692,64.34129154847587
2.04,128,64.32759814794687,64.30772385605208
2.0549999999999997,128,64.2953422165956,64.27724750999356
2.07,128,64.2660620330326,64.24960680888694
2.085,128,64.23951069306383,64.22456333446917
2.1,128,64.21545809347764,64.20189528592002
2.1149999999999998,128,64.19369026743132,64.18139677254688
2.13,128,64.17400868227514,64.1628770758492
2.145,128,64.15622951026619,64.14615989112323
